Order SubCount Count
0 1 0.0
1 1 2.0444428E7
1 2 631037.0
2 1 4.3415944E7
2 2 49941.0
2 3 427.0
3 1 1.674023E7
3 2 7133.0
3 3 680.0
3 4 88.0
4 1 771271.0
4 2 84.0
