Order TN
0 763.0
1 292087.0
2 2.70658889E8
3 7.9421149495E10
4 1.8566003321351258E13
5 3.617799787155017E15
6 6.0201945675395725E17
7 8.768151247017094E19
8 1.8740486086540381E21
