Order Modules
0 1178.0
1 692664.0
2 2.71062512E8
3 7.9421316016E10
4 1.8566003359796258E13
5 3.617799787160832E15
6 6.0201945675395725E17
7 8.768151247017094E19
8 1.8740486086540381E21
