Order SubCount Count
0 1 0.0
1 1 314658.0
1 2 85572.0
2 1 401251.0
2 2 2159.0
2 3 70.0
3 1 166019.0
3 2 469.0
4 1 38420.0
4 2 20.0
5 1 5814.0
5 2 1.0
6 1 0.0
7 1 0.0
8 1 0.0
