Order TN
0 763.0
1 292081.0
2 2.70658845E8
3 7.9421149458E10
4 1.8584587909285E13
5 3.617799787155013E15
6 6.0262207883279002E17
7 8.768151247017094E19
8 1.8759245331872253E21
